STATISTIK INDONESIA 1975;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 1976;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 1985;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 1989;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 1991;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 1993;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 1995;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 2009;Tidak ada;1 eksemplar1
BUKU SAKU STATISTIK INDONESIA 2002;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 2000;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 2002;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 2003;Tidak ada;1 eksemplar1
BUKU SAKU STATISTIK INDONESIA 2008;Tidak ada;1 eksemplar1
STATISTIK INDONESIA 2014;Tidak ada;1 eksemplar1
STATISTIK INDONESIA 2018;Tidak ada;0 eksemplar1
BUKU SAKU STATISTIK INDONESIA 1997;Tidak ada;0 eksemplar1
BUKU SAKU STATISTIK INDONESIA 1992;Tidak ada;0 eksemplar1
BUKU SAKU STATISTIK INDONESIA 2009;Tidak ada;1 eksemplar1
KATALOG STATISTIK WANITA INDONESIA 1985;Tidak ada;0 eksemplar1
STATISTIK INDONESIA 2012;Tidak ada;1 eksemplar1
STATISTIK INDONESIA 2017;Tidak ada;0 eksemplar1
DIREKTORI PERUSAHAAN KEHUTANAN 2018;Tidak ada;1 eksemplar2
BUKU SAKU STATISTIK INDONESIA 1996;Tidak ada;0 eksemplar2
BUKU SAKU STATISTIK INDONESIA 2010;Tidak ada;0 eksemplar2
USAHA/PERUSAHAAN SKALA MENENGAH BESAR PREPRINTED 2015 BUKU II;Tidak ada;0 eksemplar2
PETA TEMATIK LOKASI PEMUSATAN KEGIATAN SOSIAL EKONOMI DI INDONESIA 2008 BUKU I;Tidak ada;0 eksemplar2
DIREKTORI PERUSAHAAN PERKEBUNAN KARET 2013;Tidak ada;0 eksemplar2
DIREKTORI PERUSAHAAN PERIKANAN, PELABUHAN PERIKANAN, DAN TEMPAT PELELANGAN IKAN 2013;Tidak ada;0 eksemplar2
PENGEMBANGAN METODE SAMPLING UNTUK MENDAPATKAN ESTIMASI INDIKATOR MDG TINGKAT KECAMATAN;Tidak ada;0 eksemplar2
DIREKTORI PERUSAHAAN AIR MINUM, LISTRIK, DAN GAS 2012;Tidak ada;0 eksemplar2
PENDUDUK INDONESIA HASIL SENSUS PENDUDUK 1990 SERI: L1;Tidak ada;8 eksemplar1
PENDUDUK INDONESIA HASIL SENSUS PENDUDUK 1990 SERI: L1;Tidak ada;8 eksemplar1
PENDUDUK HASIL REGISTRASI NUSA TENGGARA TIMUR 1999;Tidak ada;0 eksemplar1
PROFIL KEPENDUDUKAN PROVINSI RIAU 2000;Tidak ada;0 eksemplar1
PROFIL KEPENDUDUKAN PROVINSI SUMATERA BARAT 2000;Tidak ada;0 eksemplar1
PROFIL KEPENDUDUKAN PROVINSI ACEH 2000;Tidak ada;0 eksemplar1
KARAKTERISTIK PENDUDUK PROVINSI PAPUA 2000 HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar1
KARAKTERISTIK PENDUDUK KALIMANTAN TENGAH HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar1
KARAKTERISTIK PENDUDUK PROVINSI SULAWESI TENGAH 2000 HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar1
PROFIL DAN ANALISA KEPENDUDUKAN PROVINSI KALIMANTAN SELATAN HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar
PROFIL DAN ANALISA KEPENDUDUKAN PROVINSI KALIMANTAN SELATAN HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar
KARAKTERISTIK PENDUDUK KALIMANTAN TIMUR 2000;Tidak ada;0 eksemplar
REGISTRASI PENDUDUK PROVINSI JAWA TIMUR AKHIR 2000;Tidak ada;0 eksemplar
DIREKTORI PERUSAHAAN AIR BERSIH, LISTRIK, DAN DISTRIBUSI GAS 2015;Tidak ada;0 eksemplar
PENDUDUK SULAWESI SELATAN HASIL SENSUS PENDUDUK TAHUN 2000;Tidak ada;0 eksemplar
PENDUDUK KABUPATEN GORONTALO HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar
PENDUDUK MALUKU UTARA HASIL SENSUS PENDUDUK TAHUN 2000;Tidak ada;0 eksemplar
PROFIL KEPENDUDUKAN PROVINSI JAWA BARAT 2000;Tidak ada;0 eksemplar
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA;Tidak ada;0 eksemplar
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA;Tidak ada;0 eksemplar
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA;Tidak ada;0 eksemplar
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA;Tidak ada;0 eksemplar
PENDUDUK RIAU HASIL SENSUS PENDUDUK 1990;Tidak ada;0 eksemplar
PENDUDUK SULAWESI TENGGARA HASIL SENSUS PENDUDUK TAHUN 2000;Tidak ada;0 eksemplar
PENDUDUK JAWA TENGAH HASIL SENSUS PENDUDUK TAHUN 2000;Tidak ada;0 eksemplar
PENDUDUK MALUKU UTARA HASIL SENSUS PENDUDUK TAHUN 2000;Tidak ada;0 eksemplar
PENDUDUK BENGKULU HASIL SENSUS PENDUDUK TAHUN 2000;Tidak ada;0 eksemplar
USAHA/PERUSAHAAN SKALA MENENGAH BESAR PREPRINTED 2015 BUKU II;Tidak ada;0 eksemplar
PETA TEMATIK LOKASI PEMUSATAN KEGIATAN SOSIAL EKONOMI DI INDONESIA 2008 BUKU II;Tidak ada;0 eksemplar
DIREKTORI PERUSAHAAN PERTAMBANGAN BESAR 2012;Tidak ada;0 eksemplar
PETA STATISTIK INDONESIA 2014;Tidak ada;0 eksemplar
DIREKTORI PERUSAHAAN PERTAMBANGAN BESAR 2014;Tidak ada;0 eksemplar
DIREKTORI PERUSAHAAN PERTAMBANGAN BESAR 2015;Tidak ada;0 eksemplar
DIREKTORI PERUSAHAAN AIR BERSIH, LISTRIK, DAN DISTRIBUSI GAS 2015;Tidak ada;0 eksemplar
DIREKTORI PERUSAHAAN AIR BERSIH, LISTRIK, DAN DISTRIBUSI GAS 2014;Tidak ada;0 eksemplar
PROYEKSI PENDUDUK PROVINSI LAMPUNG 2000-2005;Tidak ada;0 eksemplar
DIREKTORI PERUSAHAAN PERTAMBANGAN BESAR 2014;Tidak ada;0 eksemplar
DIREKTORI PERUSAHAAN PERKEBUNAN KELAPA SAWIT 2013;Tidak ada;0 eksemplar
PENDUDUK KABUPATEN GORONTALO HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA;Tidak ada;0 eksemplar
DIREKTORI PERUSAHAAN PENYEDIAAN MAKAN MINUM, HASIL SENSUS EKONOMI 2006;Tidak ada;0 eksemplar
STATISTIK STRUKTUR UPAH 2015;Tidak ada;2 eksemplar1
HASIL SENSUS PENDUDUK 2010 DATA AGREGAT PER KABUPATEN/KOTA PROVINSI SULAWESI UTARA;Tidak ada;1 eksemplar2
STATISTIK LINGKUNGAN HIDUP INDONESIA 1999;Tidak ada;0 eksemplar2
STATISTIK LINGKUNGAN HIDUP INDONESIA 1999;Tidak ada;0 eksemplar2
STATISTIK LINGKUNGAN HIDUP INDONESIA 2000;Tidak ada;1 eksemplar1
PENDATAAN SOSIAL EKONOMI PENDUDUK 2005;Tidak ada;0 eksemplar1
PEDOMAN PRAKTIS PENGHITUNGAN PDRB KAB/KOTA BUKU 2 TATACARA PENGHITUNGAN MENURUT LAPANGAN USAHA;Tidak ada;0 eksemplar1
PENDUDUK INDONESIA HASIL SENSUS PENDUDUK 2000 SERI: L2.2;Tidak ada;1 eksemplar1
STATISTIK LINGKUNGAN HIDUP INDONESIA 1998;Tidak ada;0 eksemplar1
PENDUDUK INDONESIA HASIL SENSUS PENDUDUK 2000 SERI: L2.2;Tidak ada;1 eksemplar1
STATISTIK SUMBER DAYA LAUT DAN PESISIR 2004;Tidak ada;0 eksemplar1
JUMLAH PENDUDUK DAN RUMAH TANGGA PROVINSI SUMATERA SELATAN 2000;Tidak ada;0 eksemplar1
JUMLAH PENDUDUK DAN RUMAH TANGGA PROVINSI SUMATERA SELATAN 2000;Tidak ada;0 eksemplar1
KARAKTERISTIK PENDUDUK PROVINSI BALI HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar1
PENDUDUK KABUPATEN BOALEMO HASIL SENSUS PENDUDUK 2000;Tidak ada;0 eksemplar1
