STATISTIK DAERAH KOTA TOMOHON 2016;1
STATISTIK DAERAH KABUPATEN BOLAANG MONGONDOW 2016;1
STATISTIK DAERAH KABUPATEN MINAHASA TENGGARA 2016;1
STATISTIK DAERAH KECAMATAN MARONGE 2016;1
STATISTIK DAERAH KECAMATAN ESSANG SELATAN 2016;1
STATISTIK DAERAH KECAMATAN MANGANITU SELATAN 2016;1
STATISTIK DAERAH KABUPATEN MINAHASA SELATAN 2017;1
STATISTIK DAERAH KABUPATEN BOLAANG MONGONDOW SELATAN 2017;1
STATISTIK DAERAH KABUPATEN BOLAANG MONGONDOW 2017;1
STATISTIK DAERAH KECAMATAN KENDAHE 2016;1
STATISTIK DAERAH KECAMATAN BOLANGITANG TIMUR 2015;1
STATISTIK DAERAH KECAMATAN MELONGUANE TIMUR 2016;1
STATISTIK DAERAH KECAMATAN NANUSA 2016;1
STATISTIK DAERAH KECAMATAN NANUSA 2016;Tidak ada
STATISTIK DAERAH KECAMATAN TOMOHON SELATAN 2016;Tidak ada
STATISTIK DAERAH KECAMATAN TOMOHON UTARA 2016;2
STATISTIK DAERAH KECAMATAN TONDANO UTARA 2014;1
STATISTIK DAERAH KECAMATAN TATOARENG 2016;1
STATISTIK DAERAH KECAMATAN TAMAKO 2016;1
STATISTIK DAERAH KECAMATAN TABUKAN TENGAH 2016;1
STATISTIK DAERAH KECAMATAN RAINIS 2016;2
STATISTIK DAERAH KECAMATAN PINOLOSIAN TENGAH 2016;1
STATISTIK TELEKOMUNIKASI INDONESIA 2014;1
KECAMATAN PINOLOSIAN TIMUR DALAM ANGKA 2014;1
KECAMATAN KOTAMOBAGU BARAT DALAM ANGKA 2015;1
KECAMATAN KOTAMOBAGU SELATAN DALAM ANGKA 2015;1
KECAMATAN MODAYAG BARAT DALAM ANGKA 2015;1
KECAMATAN MODAYAG BARAT DALAM ANGKA 2008;Tidak ada
DIREKTORI PERUSAHAAN AIR MINUM, LISTRIK DAN GAS 2013;1
STATISTIK DAERAH KABUPATEN BOLAANG MONGONDOW UTARA 2017;1
STATISTIK DAERAH KECAMATAN TAHUNA TIMUR 2016;2
STATISTIK DAERAH KECAMATAN TAHUNA TIMUR 2016;Tidak ada
STATISTIK DAERAH KECAMATAN TOMOHON TENGAH 2016;2
STATISTIK DAERAH KECAMATAN MIANGAS 2016;1
KEADAAN ANGKATAN KERJA DI INDONESIA AGUSTUS 2008;Tidak ada
KECAMATAN KOTAMOBAGU TIMUR DALAM ANGKA 2015;1
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA (BUKU I) MARET 2016;1
STATISTIK DAERAH KECAMATAN DUMOGA TIMUR 2016;1
STATISTIK DAERAH KECAMATAN NUANGAN 2015;1
STATISTIK DAERAH KECAMATAN LIRUNG 2016;1
STATISTIK DAERAH KABUPATEN KEPULAUAN SANGIHE 2016;1
TABUKAN TENGAH DALAM ANGKA 2011;1
STATISTIK DAERAH KECAMATAN GEMEH 2016;1
KECAMATAN MALALAYANG DALAM ANGKA 2017;3
STATISTIK DAERAH KECAMATAN KALONGAN 2016;1
STATISTIK DAERAH KECAMATAN KABARUAN 2016;1
STATISTIK DAERAH KECAMATAN BOLANGITANG BARAT 2016;1
STATISTIK DAERAH KECAMATAN DAMAU 2016;1
STATISTIK DAERAH KECAMATAN SALIBABU 2016;2
PETA TEMATIK SENSUS PERTANIAN 2013;1
KECAMATAN PINOGALUMAN DALAM ANGKA 2018;1
STATISTIK DAERAH KECAMATAN BOLANGITANG TIMUR 2016;1
PENGELUARAN UNTUK KONSUMSI PENDUDUK INDONESIA (BUKU I) SEPTEMBER 2016;1
STATISTIK DAERAH KECAMATAN BEO SELATAN 2016;1
PRODUK DOMESTIK REGIONAL BRUTO MENURUT PENGELUARAN KABUPATEN BOLAANG MONGONDOW 2014-2018;1
PRODUK DOMESTIK REGIONAL BRUTO KABUPATEN BOLAANG MONGONDOW MENURUT LAPANGAN USAHA 2014-2018;1
PRODUK DOMESTIK REGIONAL BRUTO (PDRB) KABUPATEN BOLAANG MONGONDOW MENURUT LAPANGAN USAHA 2013-2017;2
PRODUK DOMESTIK REGIONAL BRUTO (PDRB) KABUPATEN BOLAANG MONGONDOW MENURUT LAPANGAN USAHA 2013-2017;Tidak ada
PRODUK DOMESTIK REGIONAL BRUTO MENURUT LAPANGAN USAHA KABUPATEN BOLAANG MONGONDOW TAHUN 2010-2015;1
DIREKTORI PERUSAHAAN KONSTRUKSI PROVINSI SULAWESI UTARA 2018;Tidak ada
PROVINSI SULAWESI UTARA DALAM ANGKA 2018;Tidak ada
PROVINSI SULAWESI UTARA DALAM ANGKA 2016;Tidak ada
STATISTIK DAERAH KABUPATEN BOLAANG MONGONDOW TIMUR 2016;1
"STATISTIK DAERAH KECAMATAN DUMOGA TENGAH 2016 ";Tidak ada
STATISTIK DAERAH KABUPATEN KEPULAUAN TALAUD 2017;2
STATISTIK DAERAH KABUPATEN KEPULAUAN TALAUD 2017;Tidak ada
STATISTIK DAERAH KOTA KOTAMOBAGU 2016;2
STATISTIK DAERAH KOTA KOTAMOBAGU 2017;2
STATISTIK DAERAH KOTA KOTAMOBAGU 2017;Tidak ada
STATISTIK DAERAH KECAMATAN TOMOHON BARAT 2016;Tidak ada
PRODUK DOMESTIK REGIONAL BRUTO KABUPATEN MINAHASA MENURUT LAPANGAN USAHA 2014-2018;1
STATISTIK DAERAH KAWANGKOAN UTARA 2016;1
PRODUK DOMESTIK REGIONAL BRUTO KABUPATEN MINAHASA MENURUT PENGELUARAN 2014-2018;1
PRODUK DOMESTIK REGIONAL BRUTO KABUPATEN MINAHASA MENURUT LAPANGAN USAHA 2012-2016;1
PRODUK DOMESTIK REGIONAL BRUTO PROVINSI SULAWESI UTARA MENURUT PENGELUARAN 2015-2019;Tidak ada
PRODUK DOMESTIK REGIONAL BRUTO KABUPATEN MINAHASA MENURUT LAPANGAN USAHA  2013-2017;2
PRODUK DOMESTIK REGIONAL BRUTO (PDRB) KABUPATEN BOLAANG MONGONDOW MENURUT PENGELUARAN 2013-2017;1
PRODUK DOMESTIK REGIONAL BRUTO (PDRB) KABUPATEN BOLAANG MONGONDOW UTARA MENURUT PENGELUARAN 2013-2017;1
STATISTIK KESEJAHTERAAN RAKYAT KABUPATEN MINAHASA 2019;1
STATISTIK DAERAH TONDANO UTARA 2016;1
STATISTIK DAERAH KECAMATAN ESSANG 2016;Tidak ada
STATISTIK DAERAH TOMPASO BARAT 2016;1
